Country,InstName,Article Citation Count
Algeria,A.Mira University,32
Algeria,Batna University,43
Algeria,Biskra University,10
Algeria,Center for Development of Advanced Technologies,0
Algeria,Centre Universitaire Abdelhafid Boussouf,8
Algeria,Centre of Developement des Energies Renouvelable,2
Algeria,Centre of Development des Technologies Avancees,8
Algeria,Centre of Developpement des Energies Renouvelables,42
Algeria,Centre of Developpement des Technologies Avancees,17
Algeria,Ecole Militaire Polytechnique,1
Algeria,Ecole Nationale Polytechnique,83
Algeria,Ecole Nationale Polytechnique d'Alger,8
Algeria,Ecole Nationale Superieur of Technologie,1
Algeria,Elhadj Lakhdar University,34
Algeria,Institute of science and Technology,4
Algeria,Jijel University,68
Algeria,"Laboratoire of Recherche en Electrotechnique, ENP, Hassen Badi, BP 182 El Harrach, Alger, Algerie",40
Algeria,M'Hamed Bougara University of Boumerdes,0
Algeria,Materials and Renewable Energies Research Unit,0
Algeria,Microelectronics Laboratory,29
Algeria,Mohammed Khieder University,34
Algeria,Research Laboratory of Electrotechnical Systems,11
Algeria,Semiconductors Technology for Energetic Research Center  BP  Alger,2
Algeria,Universite 8 Mai 1945 Guelma,59
Algeria,Universite M'hamed Bougara of Boumerdes,10
Algeria,Universite Saad Dahleb,11
Algeria,Universite des Freres Mentouri,12
Algeria,Universite of Biskra,4
Algeria,University Benyoucef Benkhedda,0
Algeria,University Constantine,13
Algeria,University Mustapha Stambouli of Mascara,0
Algeria,University of Batna,62
Algeria,University of Bechar,14
Algeria,University of Sciences and Technology,10
Algeria,University of Sciences and Technology Houari Boumediene,29
Argentina,Balseiro Institute,2
Argentina,"CNEA, Buenos Aires, Argentina",13
Argentina,"CONICET, UIDI, UTN.BA, Buenos Aires, Argentina",3
Argentina,"Centro Atomico Bariloche, CNEA/CONICET/IB, Bariloche, Argentina",0
Argentina,"Centro Atomico Bariloche, Comision Nacional of Energia Atomica, Bariloche, Argentina",5
Argentina,"Centro of Investigaciones Opticas, CONICET La Plata, CIC, Gonnet, Argentina",61
Argentina,"Centro of Investigaciones Opticas, La Plata, Argentina",11
Argentina,"Comision Nacional of Energia Atomica , Consejo Nacional of Investigaciones Cientificas y Tecnicas, Buenos Aires, Argentina",14
Argentina,"Complejo Astronomico El Leoncito, San Juan, Argentina",17
Argentina,"Consejo Nacional of Investigaciones Cientificas y Tecnicas, Argentina",0
Argentina,"Consejo Nacional of Investigaciones Cientificas y Tecnicas, Buenos Aires, Argentina",49
Argentina,"Consejo Nacional of Investigaciones Cientificas y Tecnicas, Buenos Aires, Buenos Aires, AR",0
Argentina,"Consejo Nacional of Investigaciones Cientificas y Tecnicas, Comision Nacional of Energia Atomica, Buenos Aires, Argentina",2
Argentina,"Electrical Engineering Department, UTN.BA, Buenos Aires, Argentina",3
Argentina,"Facultad of Ciencias Fisico Matematicas y Naturales, CONICET, Argentina",0
Argentina,Fundacion Instituto of Tecnologias Nucleares para la Salud,2
Argentina,"GEMyDE, Univ. Nac. of La Plata, Buenos Aires, Argentina",0
Argentina,"GIyA, CAC, CNEA, Buenos Aires, Argentina",3
Argentina,"Gerencia of Investigacion y aplicaciones, Comision Nacional of Energia Atomica, San Martin, Argentina",5
Argentina,Institute of Technical and Scientific Research on Electronics,8
Argentina,Instituto Balseiro,16
Argentina,Instituto Nacional of Tecnologia Industrial,65
Argentina,Instituto Tecnologico of Buenos Aires,1
Argentina,Instituto of Fisica Arroyo Seco,32
Argentina,Instituto of Fisica Rosario,0
Argentina,"Laboratorio Argentino of Haces of Neutrones Comision Nacional of Energia Atomica, San Martin, Argentina",5
Argentina,"Laboratorio of Resonancias Magneticas, Centro Atomico Bariloche, S. C. Bariloche, RN, Argentina",7
Argentina,"Laboratorio of Resonancias Magneticas, Centro Atomico Bariloche, S. C: Bariloche, RN, Argentina",7
Argentina,"Laboratorio of Sensores Fotonicos, YPF Tecnologia, Buenos Aires, Argentina",9
Argentina,"Univ. Nac. of Misiones, Misiones, Argentina",2
Argentina,"Univ. Nac. of Rio Cuarto, Cordoba, Argentina",2
Argentina,Universidad Nacional del Centro of la Provincia of Buenos Aires,59
Argentina,Universidad Nacional del Litoral,2
Argentina,Universidad Nacional del Sur,27
Argentina,Universidad Nacional of La Plata,0
Argentina,Universidad Nacional of Mar del Plata,98
Argentina,Universidad Nacional of Misiones,0
Argentina,Universidad Nacional of Quilmes,0
Argentina,Universidad Nacional of Rio Cuarto,6
Argentina,Universidad Nacional of Rio Cuarto y CONICET,23
Argentina,Universidad Nacional of San Luis,46
Argentina,Universidad Nacional of Tucuman,2
Argentina,Universidad Nacional of la Plata,0
Argentina,Universidad Tecnologica Nacional,12
Argentina,Universidad Tecnoloogica Nacional,12
Argentina,Universidad of Buenos Aires,59
Argentina,Universidad of San Martin,5
Argentina,University of Buenos Aires,51
Armenia,Armenian  University,5
Armenia,"Design, to, Silicon Division, Siemens EDA, Yerevan, Armenia",3
Armenia,Institute of Radiophysics and Electronics,30
Armenia,Mentor Graphics Corporation,70
Armenia,Yerevan State University,66
Australia,Australian National University,990
Australia,Australian National University Austrialian Capital Territory,101
Australia,Australian Nuclear Science And Technology Organisation,5
Australia,Australian Nuclear Science and Technology Organisation,38
Australia,Australian Nuclear SciencesyukandsyukTechnology Organisation,42
Australia,Australian Semiconductor Technology Company,10
Australia,Bell Laboratories,101
Australia,CSIRO,95
Australia,CSIRO DPaS Flagship,34
Australia,CSIRO ICT Centre,164
Australia,CSIRO Industrial Physics,6
Australia,CSIRO Manufacturing,1
Australia,CSIRO Materials Science and Engineering,11
Australia,Canberra Research Laboratory,12
Australia,Charles Darwin University,8
Australia,Charles Sturt University,33
Australia,Commonwealth Scientific and Industrial Research Organisation,53
Australia,Commonwealth Scientific and Industrial Research Organization,0
Australia,Creative Power Technologies,410
Australia,Curtin University,133
Australia,Deakin University,224
Australia,Defence Science and Technology Organisation,54
Australia,Edith Cowan University,61
Australia,"Expert Information Services, Melbourne, Australia",318
Australia,"Fac. of Inf. & Commun. Technol., Griffith Univ., Brisbane, Qld., Australia",1
Australia,Federation University,0
Australia,Federation University Australia,17
Australia,Flinders University,3
Australia,Griffith University,825
Australia,Illawarra Cancer Care Centre,18
Australia,Institute for Superconducting and Electronic Materials,9
Australia,Institute of Materials Engineering,4
Australia,James Cook University,271
Australia,La Trobe University,20
Australia,MONASH University,8
Australia,Macquarie University,464
Australia,Macquarie University of Sydney,10
Australia,"Mater Hospital, Newcastle, Australia",49
Australia,Monash University,1611
Australia,Murdoch University,12
Australia,National Measurement Institute,7
Australia,Nelune Comprehensive Cancer Centre,8
Australia,"PV Lighthouse, Coledale, N.S.W., Australia",148
Australia,"PV Lighthouse, Coledale, NSW, Australia",114
Australia,"Panorama Synergy Ltd., Sydney, NSW, Australia",4
Australia,Peregrine Semiconductor Australia,3
Australia,Peregrine Semiconductor Australia Private Limited,12
Australia,Photonic Detection Systems Pty Ltd.,7
Australia,Platform Technologies Research Institute and the School of Mathematical and Geospatial Sciences,6
Australia,Quality Semiconductor Australia,11
Australia,Queensland University of Technology,474
Australia,"RF Industries, Adelaide, SA, Australia",4
Australia,RMIT University,450
Australia,Redfern Optical Components Private Limited,39
Australia,Royal Melbourne Iinstitute of Technology University,152
Australia,Royal Melbourne Institute of Technology,28
Australia,Royal Melbourne Institute of Technology University,16
Australia,Saint George Cancer Care Centre,49
Australia,Sapphicon Semiconductor,201
Australia,"Sch. of Microelectron. Eng., Griffith Univ., Brisbane, Qld., Australia",17
Australia,"School of Electrical Engineering and Telecommunications, UNSW Sydney, Sydney, NSW, Australia",9
Australia,School of Mechanical and Electrical Engineering University of Southern Queensland,81
Australia,"Sensory Networks, Australia",9
Australia,"Shamash Australia Pty Ltd., Mount Barker, SA, Australia",46
Australia,Silanna Semiconductor Private Limited,4
Australia,St George Cancer Care Centre,0
Australia,Swinburne University of Technology,69
Australia,Swinburne University of Technology and Hawthorn,14
Australia,Swinburne University of Technology at Hawthorn,10
Australia,Sydney Design Center,54
Australia,Sydney Design Centre,6
Australia,The Australian National University,331
Australia,The University of Adelaide,100
Australia,The University of Melbourne,42
Australia,The University of New South Wales,268
